TravelDate,DayOFWeek,TubeJourneyCount,BusJourneyCount
20190101,Tuesday,1801000,2312000
20190102,Wednesday,3410000,4536000
20190103,Thursday,3604000,4742000
20190104,Friday,3693000,4984000
20190105,Saturday,2583000,4046000
20190106,Sunday,1679000,2989000
20190107,Monday,3700000,5511000
20190108,Tuesday,4026000,5909000
20190109,Wednesday,4056000,5905000
20190110,Thursday,4173000,5895000
20190111,Friday,4202000,6085000
20190112,Saturday,2888000,4349000
20190113,Sunday,1986000,3130000
20190114,Monday,4029000,5974000
20190115,Tuesday,4257000,6059000
20190116,Wednesday,4330000,6031000
20190117,Thursday,4454000,6146000
20190118,Friday,4797000,6210000
20190119,Saturday,3424000,4434000
20190120,Sunday,2088000,3219000
20190121,Monday,4096000,5962000
20190122,Tuesday,4350000,6075000
20190123,Wednesday,4385000,6010000
20190124,Thursday,4518000,6023000
20190125,Friday,1905000,1245000
20190126,Saturday,2264000,4525000
20190127,Sunday,2079000,3140000
20190128,Monday,4148000,6036000
20190129,Tuesday,4385000,6103000
20190130,Wednesday,4414000,6075000
20190131,Thursday,4438000,6053000
20190201,Friday,4247000,5817000
20190202,Saturday,3143000,4458000
20190203,Sunday,2129000,3208000
20190204,Monday,4151000,5863000
20190205,Tuesday,4392000,6107000
20190206,Wednesday,4449000,6104000
20190207,Thursday,4534000,6167000
20190208,Friday,4480000,6066000
20190209,Saturday,3127000,4645000
20190210,Sunday,2159000,3220000
20190211,Monday,4176000,6054000
20190212,Tuesday,4374000,6200000
20190213,Wednesday,4515000,6262000
20190214,Thursday,4475000,6297000
20190215,Friday,4457000,6191000
20190216,Saturday,3120000,4499000
20190217,Sunday,2214000,3371000
20190218,Monday,4130000,5165000
20190219,Tuesday,4357000,5474000
20190220,Wednesday,4414000,5426000
20190221,Thursday,4497000,5480000
20190222,Friday,4485000,5543000
20190223,Saturday,3174000,4632000
20190224,Sunday,2219000,3373000
20190225,Monday,4074000,5999000
20190226,Tuesday,4370000,6238000
20190227,Wednesday,4535000,6252000
20190228,Thursday,4576000,6250000
20190301,Friday,4516000,6347000
20190302,Saturday,3301000,4804000
20190303,Sunday,2037000,3230000
20190304,Monday,4199000,6156000
20190305,Tuesday,4412000,6308000
20190306,Wednesday,4469000,6235000
20190307,Thursday,4621000,6330000
20190308,Friday,4601000,6419000
20190309,Saturday,3251000,4762000
20190310,Sunday,2234000,3267000
20190311,Monday,4228000,6158000
20190312,Tuesday,4358000,6009000
20190313,Wednesday,4457000,6222000
20190314,Thursday,4557000,6194000
20190315,Friday,4498000,6307000
20190316,Saturday,3173000,4641000
20190317,Sunday,2221000,3402000
20190318,Monday,4132000,6100000
20190319,Tuesday,4377000,6202000
20190320,Wednesday,4430000,5956000
20190321,Thursday,4485000,6161000
20190322,Friday,4518000,6311000
20190323,Saturday,3512000,4798000
20190324,Sunday,2296000,3494000
20190325,Monday,4133000,6107000
20190326,Tuesday,4326000,6222000
20190327,Wednesday,4388000,6203000
20190328,Thursday,4500000,6292000
20190329,Friday,4553000,6438000
20190330,Saturday,3279000,4984000
20190331,Sunday,2135000,3381000
20190401,Monday,4097000,6098000
20190402,Tuesday,4250000,6086000
20190403,Wednesday,4361000,6205000
20190404,Thursday,4391000,6156000
20190405,Friday,4318000,6358000
20190406,Saturday,3065000,4610000
20190407,Sunday,2125000,3309000
20190408,Monday,4055000,5374000
20190409,Tuesday,4274000,5454000
20190410,Wednesday,4323000,5627000
20190411,Thursday,4418000,5513000
20190412,Friday,4299000,5514000
20190413,Saturday,3103000,4594000
20190414,Sunday,2126000,3415000
20190415,Monday,4129000,5165000
20190416,Tuesday,4389000,5180000
20190417,Wednesday,4427000,5274000
20190418,Thursday,4383000,5386000
20190419,Friday,2650000,4269000
20190420,Saturday,2828000,4469000
20190421,Sunday,1943000,3090000
20190422,Monday,1931000,3431000
20190423,Tuesday,4006000,5808000
20190424,Wednesday,4277000,5992000
20190425,Thursday,4424000,6179000
20190426,Friday,4466000,6314000
20190427,Saturday,3141000,4693000
20190428,Sunday,2376000,3268000
20190429,Monday,4126000,6059000
20190430,Tuesday,4443000,6295000
20190501,Wednesday,4447000,6292000
20190502,Thursday,4594000,6299000
20190503,Friday,4429000,6370000
20190504,Saturday,3018000,4819000
20190505,Sunday,2203000,3628000
20190506,Monday,1923000,3449000
20190507,Tuesday,4168000,6197000
20190508,Wednesday,4362000,6068000
20190509,Thursday,4466000,6179000
20190510,Friday,4396000,6380000
20190511,Saturday,2848000,4737000
20190512,Sunday,1991000,3550000
20190513,Monday,4062000,6118000
20190514,Tuesday,4278000,6230000
20190515,Wednesday,4362000,6229000
20190516,Thursday,4407000,6280000
20190517,Friday,4330000,6246000
20190518,Saturday,3059000,4691000
20190519,Sunday,2074000,3356000
20190520,Monday,4023000,6053000
20190521,Tuesday,4323000,6229000
20190522,Wednesday,4387000,6200000
20190523,Thursday,4390000,6203000
20190524,Friday,4270000,6262000
20190525,Saturday,2973000,4670000
20190526,Sunday,2281000,3563000
20190527,Monday,2221000,3526000
20190528,Tuesday,4051000,5418000
20190529,Wednesday,4287000,5469000
20190530,Thursday,4347000,5538000
20190531,Friday,4381000,5674000
20190601,Saturday,3279000,4834000
20190602,Sunday,2200000,3485000
20190603,Monday,4022000,6005000
20190604,Tuesday,4259000,5989000
20190605,Wednesday,4345000,6082000
20190606,Thursday,4485000,6281000
20190607,Friday,4381000,6207000
20190608,Saturday,3205000,4716000
20190609,Sunday,2168000,3524000
20190610,Monday,4120000,5701000
20190611,Tuesday,4392000,6307000
20190612,Wednesday,4472000,6223000
20190613,Thursday,4599000,6128000
20190614,Friday,4513000,6430000
20190615,Saturday,3122000,4945000
20190616,Sunday,2151000,3521000
20190617,Monday,4229000,6108000
20190618,Tuesday,4483000,6164000
20190619,Wednesday,4456000,6258000
20190620,Thursday,4574000,6310000
20190621,Friday,4548000,6356000
20190622,Saturday,3300000,4945000
20190623,Sunday,2293000,3528000
20190624,Monday,4120000,6064000
20190625,Tuesday,4361000,6164000
20190626,Wednesday,4476000,6215000
20190627,Thursday,4503000,6249000
20190628,Friday,4439000,6342000
20190629,Saturday,3266000,4963000
20190630,Sunday,2395000,3628000
20190701,Monday,4173000,6041000
20190702,Tuesday,4436000,6225000
20190703,Wednesday,4534000,6229000
20190704,Thursday,4610000,6255000
20190705,Friday,4594000,6318000
20190706,Saturday,3581000,4924000
20190707,Sunday,2341000,3654000
20190708,Monday,4156000,6048000
20190709,Tuesday,4333000,6203000
20190710,Wednesday,4458000,6124000
20190711,Thursday,4536000,6119000
20190712,Friday,4473000,6210000
20190713,Saturday,3223000,4836000
20190714,Sunday,2295000,3478000
20190715,Monday,4145000,5915000
20190716,Tuesday,4336000,6040000
20190717,Wednesday,4388000,6021000
20190718,Thursday,4407000,5944000
20190719,Friday,4228000,5955000
20190720,Saturday,3005000,4647000
20190721,Sunday,2229000,3562000
20190722,Monday,3996000,5472000
20190723,Tuesday,4154000,5516000
20190724,Wednesday,4177000,5334000
20190725,Thursday,3941000,5108000
20190726,Friday,4121000,5352000
20190727,Saturday,2894000,4349000
20190728,Sunday,2205000,3397000
20190729,Monday,3927000,5278000
20190730,Tuesday,4091000,5146000
20190731,Wednesday,4145000,5375000
20190801,Thursday,4170000,5361000
20190802,Friday,4030000,5388000
20190803,Saturday,3089000,4438000
20190804,Sunday,2371000,3217000
20190805,Monday,3829000,5098000
20190806,Tuesday,4071000,5246000
20190807,Wednesday,4140000,5257000
20190808,Thursday,4177000,5317000
20190809,Friday,4040000,5275000
20190810,Saturday,2889000,4379000
20190811,Sunday,2087000,3465000
20190812,Monday,3760000,4918000
20190813,Tuesday,4050000,5282000
20190814,Wednesday,4040000,4895000
20190815,Thursday,4195000,5449000
20190816,Friday,3992000,5127000
20190817,Saturday,3054000,4400000
20190818,Sunday,2130000,3214000
20190819,Monday,3768000,5071000
20190820,Tuesday,4004000,5218000
20190821,Wednesday,4031000,5221000
20190822,Thursday,4020000,5396000
20190823,Friday,3869000,5339000
20190824,Saturday,2763000,4334000
20190825,Sunday,2268000,3435000
20190826,Monday,2193000,3398000
20190827,Tuesday,3648000,5077000
20190828,Wednesday,3928000,5247000
20190829,Thursday,3999000,5322000
20190830,Friday,3939000,5474000
20190831,Saturday,2819000,4489000
20190901,Sunday,1995000,3396000
20190902,Monday,3701000,5420000
20190903,Tuesday,3941000,5616000
20190904,Wednesday,3909000,6036000
20190905,Thursday,4147000,6053000
20190906,Friday,4080000,6109000
20190907,Saturday,2938000,4624000
20190908,Sunday,2029000,3450000
20190909,Monday,3898000,5966000
20190910,Tuesday,4190000,6179000
20190911,Wednesday,4254000,6180000
20190912,Thursday,4347000,6255000
20190913,Friday,4307000,6376000
20190914,Saturday,3174000,4803000
20190915,Sunday,2231000,3524000
20190916,Monday,4076000,6113000
20190917,Tuesday,4380000,6315000
20190918,Wednesday,4402000,6303000
20190919,Thursday,4466000,6307000
20190920,Friday,4455000,6387000
20190921,Saturday,3126000,4856000
20190922,Sunday,2202000,3323000
20190923,Monday,4126000,6171000
20190924,Tuesday,4360000,6145000
20190925,Wednesday,4458000,6303000
20190926,Thursday,4551000,6331000
20190927,Friday,4518000,6404000
20190928,Saturday,3255000,4817000
20190929,Sunday,2121000,3303000
20190930,Monday,4124000,6250000
20191001,Tuesday,4394000,6189000
20191002,Wednesday,4564000,6381000
20191003,Thursday,4703000,6341000
20191004,Friday,4633000,6378000
20191005,Saturday,3336000,4889000
20191006,Sunday,2287000,3449000
20191007,Monday,4367000,6098000
20191008,Tuesday,4535000,6178000
20191009,Wednesday,4574000,6200000
20191010,Thursday,4723000,6252000
20191011,Friday,4670000,6174000
20191012,Saturday,3196000,4655000
20191013,Sunday,2255000,3363000
20191014,Monday,4337000,5987000
20191015,Tuesday,4526000,6275000
20191016,Wednesday,4594000,6225000
20191017,Thursday,4617000,6192000
20191018,Friday,4533000,6242000
20191019,Saturday,3400000,4680000
20191020,Sunday,2232000,3384000
20191021,Monday,4157000,5211000
20191022,Tuesday,4393000,5481000
20191023,Wednesday,4420000,5392000
20191024,Thursday,4485000,5193000
20191025,Friday,4492000,5563000
20191026,Saturday,3192000,4488000
20191027,Sunday,2459000,3514000
20191028,Monday,4305000,5860000
20191029,Tuesday,4534000,6064000
20191030,Wednesday,4651000,6132000
20191031,Thursday,4637000,6258000
20191101,Friday,4647000,6159000
20191102,Saturday,3122000,4523000
20191103,Sunday,2242000,3432000
20191104,Monday,4180000,6060000
20191105,Tuesday,4410000,6205000
20191106,Wednesday,4482000,6207000
20191107,Thursday,4583000,6214000
20191108,Friday,4538000,6262000
20191109,Saturday,3377000,4507000
20191110,Sunday,2313000,3388000
20191111,Monday,4247000,6043000
20191112,Tuesday,4487000,6128000
20191113,Wednesday,4543000,6258000
20191114,Thursday,4756000,6242000
20191115,Friday,4632000,6227000
20191116,Saturday,3181000,4748000
20191117,Sunday,2164000,3431000
20191118,Monday,4198000,6031000
20191119,Tuesday,4453000,6125000
20191120,Wednesday,4556000,6196000
20191121,Thursday,4691000,6144000
20191122,Friday,4719000,6250000
20191123,Saturday,3560000,4653000
20191124,Sunday,2378000,3363000
20191125,Monday,4301000,6024000
20191126,Tuesday,4584000,6167000
20191127,Wednesday,4680000,6186000
20191128,Thursday,4855000,6241000
20191129,Friday,4952000,6453000
20191130,Saturday,3626000,4820000
20191201,Sunday,2439000,3452000
20191202,Monday,4357000,6100000
20191203,Tuesday,4631000,6162000
20191204,Wednesday,4745000,6193000
20191205,Thursday,4906000,6237000
20191206,Friday,4865000,6251000
20191207,Saturday,3679000,4818000
20191208,Sunday,2483000,3421000
20191209,Monday,4448000,6099000
20191210,Tuesday,4644000,6074000
20191211,Wednesday,4700000,6230000
20191212,Thursday,4697000,6110000
20191213,Friday,4748000,6290000
20191214,Saturday,3565000,4686000
20191215,Sunday,2497000,3425000
20191216,Monday,4274000,5968000
20191217,Tuesday,4447000,6017000
20191218,Wednesday,4506000,6153000
20191219,Thursday,4386000,5942000
20191220,Friday,4262000,5788000
20191221,Saturday,2979000,4448000
