TravelDate,DayOFWeek,TubeJourneyCount,BusJourneyCount
20210101,Friday,229000,836000
20210102,Saturday,387000,1434000
20210103,Sunday,326000,1112000
20210104,Monday,724000,1958000
20210105,Tuesday,686000,1892000
20210106,Wednesday,677000,1896000
20210107,Thursday,671000,1874000
20210108,Friday,679000,1905000
20210109,Saturday,380000,1471000
20210110,Sunday,253000,1012000
20210111,Monday,666000,1869000
20210112,Tuesday,662000,1852000
20210113,Wednesday,673000,1836000
20210114,Thursday,666000,1815000
20210115,Friday,695000,1977000
20210116,Saturday,382000,1414000
20210117,Sunday,293000,1110000
20210118,Monday,682000,1908000
20210119,Tuesday,694000,1911000
20210120,Wednesday,691000,1862000
20210121,Thursday,704000,1948000
20210122,Friday,726000,2045000
20210123,Saturday,432000,1583000
20210124,Sunday,261000,999000
20210125,Monday,711000,1985000
20210126,Tuesday,711000,1939000
20210127,Wednesday,716000,1964000
20210128,Thursday,730000,1996000
20210129,Friday,754000,2092000
20210130,Saturday,422000,1531000
20210131,Sunday,314000,1161000
20210201,Monday,730000,2018000
20210202,Tuesday,740000,2044000
20210203,Wednesday,752000,2011000
20210204,Thursday,749000,2029000
20210205,Friday,798000,2218000
20210206,Saturday,474000,1668000
20210207,Sunday,293000,1062000
20210208,Monday,739000,1932000
20210209,Tuesday,744000,1936000
20210210,Wednesday,777000,2055000
20210211,Thursday,782000,2052000
20210212,Friday,801000,2155000
20210213,Saturday,498000,1662000
20210214,Sunday,335000,1165000
20210215,Monday,769000,2019000
20210216,Tuesday,781000,2016000
20210217,Wednesday,807000,2047000
20210218,Thursday,803000,2059000
20210219,Friday,821000,2166000
20210220,Saturday,587000,1806000
20210221,Sunday,376000,1256000
20210222,Monday,803000,2008000
20210223,Tuesday,846000,2148000
20210224,Wednesday,857000,2148000
20210225,Thursday,864000,2170000
20210226,Friday,913000,2390000
20210227,Saturday,642000,1947000
20210228,Sunday,398000,1315000
20210301,Monday,852000,2266000
20210302,Tuesday,868000,2256000
20210303,Wednesday,868000,2191000
20210304,Thursday,877000,2267000
20210305,Friday,937000,2395000
20210306,Saturday,631000,1849000
20210307,Sunday,428000,1338000
20210308,Monday,952000,2695000
20210309,Tuesday,1021000,2867000
20210310,Wednesday,997000,2743000
20210311,Thursday,1035000,2934000
20210312,Friday,1050000,3068000
20210313,Saturday,632000,2003000
20210314,Sunday,431000,1409000
20210315,Monday,1016000,2986000
20210316,Tuesday,1040000,3011000
20210317,Wednesday,1071000,2928000
20210318,Thursday,1043000,2991000
20210319,Friday,1123000,3164000
20210320,Saturday,699000,1968000
20210321,Sunday,477000,1411000
20210322,Monday,1049000,3040000
20210323,Tuesday,1084000,3059000
20210324,Wednesday,1078000,3029000
20210325,Thursday,1088000,3058000
20210326,Friday,1096000,3092000
20210327,Saturday,753000,2170000
20210328,Sunday,444000,1389000
20210329,Monday,1124000,3094000
20210330,Tuesday,1259000,3241000
20210331,Wednesday,1212000,3120000
20210401,Thursday,1187000,2938000
20210402,Friday,778000,2090000
20210403,Saturday,736000,2092000
20210404,Sunday,611000,1478000
20210405,Monday,557000,1607000
20210406,Tuesday,1091000,2574000
20210407,Wednesday,1146000,2475000
20210408,Thursday,1137000,2550000
20210409,Friday,1174000,2625000
20210410,Saturday,776000,2051000
20210411,Sunday,611000,1575000
20210412,Monday,1476000,3118000
20210413,Tuesday,1453000,3031000
20210414,Wednesday,1500000,3014000
20210415,Thursday,1505000,2890000
20210416,Friday,1577000,3152000
20210417,Saturday,1371000,2733000
20210418,Sunday,891000,1981000
20210419,Monday,1401000,3477000
